Country,Indicator,Time,Value
Lithuania,Gender wage gap at 9th decile (top),2020,22.1
Lithuania,Gender wage gap at median,2020,9.3
Belgium,Gender wage gap at 1st decile (bottom),2020,5.7
Belgium,Gender wage gap at 9th decile (top),2020,6.1
Belgium,Gender wage gap at median,2020,1.2
France,Gender wage gap at 1st decile (bottom),2020,12.2
France,Gender wage gap at 9th decile (top),2020,20.8
France,Gender wage gap at median,2020,11.8
Italy,Gender wage gap at 1st decile (bottom),2020,2.8
Italy,Gender wage gap at 9th decile (top),2020,20.0
Italy,Gender wage gap at median,2020,4.8
Latvia,Gender wage gap at 1st decile (bottom),2020,17.1
Latvia,Gender wage gap at 9th decile (top),2020,25.1
Latvia,Gender wage gap at median,2020,22.7
Iceland,Gender wage gap at median,2020,11.4
Ireland,Gender wage gap at median,2020,7.3
Israel,Gender wage gap at 1st decile (bottom),2020,13.3
Israel,Gender wage gap at 9th decile (top),2020,29.0
Israel,Gender wage gap at median,2020,21.6
Poland,Gender wage gap at 1st decile (bottom),2020,-2.6
Ireland,Gender wage gap at 9th decile (top),2020,21.1
Luxembourg,Gender wage gap at median,2020,0.4
Slovenia,Gender wage gap at 1st decile (bottom),2020,11.8
Slovenia,Gender wage gap at 9th decile (top),2020,16.0
Slovenia,Gender wage gap at median,2020,8.4
