"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,23.5,,
"AUS","Australia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,21.9,,
"AUS","Australia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,20,,
"AUT","Austria","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,30.5,,
"AUT","Austria","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,26.5,,
"AUT","Austria","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,21.9,,
"AUT","Austria","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,19,,
"AUT","Austria","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,18.7,,
"AUT","Austria","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,18.1,,
"AUT","Austria","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,27.7,,
"AUT","Austria","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,24.5,,
"AUT","Austria","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,22.3,,
"AUT","Austria","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,21,,
"AUT","Austria","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,20.7,,
"AUT","Austria","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,20.1,,
"BEL","Belgium","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,16.7,,
"BEL","Belgium","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,11.9,,
"BEL","Belgium","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,8.1,,
"BEL","Belgium","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,4.6,,
"BEL","Belgium","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,4.3,,
"BEL","Belgium","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,5.6,,
"BEL","Belgium","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,20.4,,
"BEL","Belgium","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,18,,
"BEL","Belgium","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,12.5,,
"BEL","Belgium","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,9.1,,
"BEL","Belgium","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,10,,
"BEL","Belgium","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,6.5,,
"CAN","Canada","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,21.1,,
"CAN","Canada","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,18.7,,
"CAN","Canada","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,16.7,,
"CAN","Canada","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,14.8,,
"CAN","Canada","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,13.6,,
"CAN","Canada","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,14.3,,
"CAN","Canada","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,13.9,,
"CAN","Canada","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2019","2019",,,"0","Units",,,10,,
"CAN","Canada","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,21.1,,
"CAN","Canada","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,17.5,,
"CAN","Canada","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,17.6,,
"CAN","Canada","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,15.7,,
"CAN","Canada","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,16,,
"CAN","Canada","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,15.5,,
"CAN","Canada","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,15.9,,
"CAN","Canada","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2019","2019",,,"0","Units",,,16.8,,
"CZE","Czechia","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,11.9,,
"CZE","Czechia","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,10.3,,
"CZE","Czechia","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,7.1,,
"CZE","Czechia","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,7.5,,
"CZE","Czechia","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,6.5,,
"CZE","Czechia","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,5.3,,
"CZE","Czechia","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2019","2019",,,"0","Units",,,4.6,,
"CZE","Czechia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,24.7,,
"CZE","Czechia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,24.5,,
"CZE","Czechia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,24.7,,
"CZE","Czechia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,23.8,,
"CZE","Czechia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,23.8,,
"CZE","Czechia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,23.2,,
"CZE","Czechia","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2019","2019",,,"0","Units",,,22.2,,
"DNK","Denmark","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,10.3,,
"DNK","Denmark","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,10.3,,
"DNK","Denmark","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,8.3,,
"DNK","Denmark","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,8.7,,
"DNK","Denmark","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,8.7,,
"DNK","Denmark","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,8,,
"DNK","Denmark","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,20,,
"DNK","Denmark","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,17.6,,
"DNK","Denmark","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,14.2,,
"DNK","Denmark","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,13.5,,
"DNK","Denmark","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,12.8,,
"DNK","Denmark","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,12.1,,
"FIN","Finland","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,11.3,,
"FIN","Finland","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,11.9,,
"FIN","Finland","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,9.5,,
"FIN","Finland","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,10.6,,
"FIN","Finland","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,10.1,,
"FIN","Finland","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,9.6,,
"FIN","Finland","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,11.9,,
"FIN","Finland","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,29.6,,
"FIN","Finland","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,27.4,,
"FIN","Finland","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,23.3,,
"FIN","Finland","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,23.4,,
"FIN","Finland","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,20.7,,
"FIN","Finland","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,21.1,,
"FIN","Finland","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,23.1,,
"FRA","France","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,5.9,,
"FRA","France","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,22.5,,
"DEU","Germany","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,24.2,,
"DEU","Germany","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,28.6,,
"DEU","Germany","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,19.2,,
"DEU","Germany","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,16.7,,
"DEU","Germany","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,14.5,,
"DEU","Germany","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,11.1,,
"DEU","Germany","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,18.1,,
"DEU","Germany","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,28.6,,
"DEU","Germany","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,22.7,,
"DEU","Germany","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,21.8,,
"DEU","Germany","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,23,,
"DEU","Germany","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,23.5,,
"DEU","Germany","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,21.3,,
"DEU","Germany","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,22.1,,
"GRC","Greece","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,5.5,,
"GRC","Greece","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,5.3,,
"GRC","Greece","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,29.5,,
"GRC","Greece","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,22.3,,
"HUN","Hungary","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,1.2,,
"HUN","Hungary","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,-9.5,,
"HUN","Hungary","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,-1,,
"HUN","Hungary","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,0,,
"HUN","Hungary","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,0,,
"HUN","Hungary","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,25.4,,
"HUN","Hungary","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,19.2,,
"HUN","Hungary","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,22.3,,
"HUN","Hungary","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,24.6,,
"HUN","Hungary","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,24.6,,
"ISL","Iceland","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,16.8,,
"ISL","Iceland","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,23.3,,
"IRL","Ireland","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,14.4,,
"IRL","Ireland","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,19.6,,
"ITA","Italy","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,11.1,,
"ITA","Italy","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,3.3,,
"ITA","Italy","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,22.2,,
"ITA","Italy","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,19.5,,
"JPN","Japan","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,26.8,,
"JPN","Japan","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,27.5,,
"JPN","Japan","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,22.7,,
"JPN","Japan","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,18.5,,
"JPN","Japan","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,18.3,,
"JPN","Japan","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,17.9,,
"JPN","Japan","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,17.2,,
"JPN","Japan","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2019","2019",,,"0","Units",,,17,,
"JPN","Japan","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,38.9,,
"JPN","Japan","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,38.4,,
"JPN","Japan","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,34.8,,
"JPN","Japan","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,33.1,,
"JPN","Japan","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,32.3,,
"JPN","Japan","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,32,,
"JPN","Japan","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,32.7,,
"JPN","Japan","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2019","2019",,,"0","Units",,,31.3,,
"KOR","Korea","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,26.9,,
"KOR","Korea","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,20.7,,
"KOR","Korea","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,20.5,,
"KOR","Korea","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,16.1,,
"KOR","Korea","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,15.4,,
"KOR","Korea","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,10.6,,
"KOR","Korea","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,7.6,,
"KOR","Korea","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2019","2019",,,"0","Units",,,7.3,,
"KOR","Korea","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2000","2000",,,"0","Units",,,39.5,,
"KOR","Korea","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,41.9,,
"KOR","Korea","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,39.6,,
"KOR","Korea","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,38.7,,
"KOR","Korea","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,38.2,,
"KOR","Korea","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,37.3,,
"KOR","Korea","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,36.2,,
"KOR","Korea","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2019","2019",,,"0","Units",,,35.3,,
"LUX","Luxembourg","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,11.7,,
"LUX","Luxembourg","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,15.3,,
"MEX","Mexico","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,12.5,,
"MEX","Mexico","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2010","2010",,,"0","Units",,,16.7,,
"MEX","Mexico","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2015","2015",,,"0","Units",,,14,,
"MEX","Mexico","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2016","2016",,,"0","Units",,,14.3,,
"MEX","Mexico","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2017","2017",,,"0","Units",,,13.2,,
"MEX","Mexico","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2018","2018",,,"0","Units",,,12.5,,
"MEX","Mexico","EMP9_1","Gender wage gap at 1st decile (bottom)","ALL_PERSONS","All persons","TOTAL","Total","2019","2019",,,"0","Units",,,11.1,,
"MEX","Mexico","EMP9_9","Gender wage gap at 9th decile (top)","ALL_PERSONS","All persons","TOTAL","Total","2005","2005",,,"0","Units",,,16.3,,
